French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
mois,month
laisser,let
car,because
mettre,to put
aucun,no
eux,them
ville,city
parl̩,speak
devrait,should
b̩b̩,baby
longtemps,long time
heures,hours
revoir,meet again
aucune,any
compris,understood
̩taient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donn̩,given
endroit,place
yeux,eyes
fa̤on,way
̩coute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
premi̬re,first
c̫t̩,side
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
demand̩,request
chambre,bedroom
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
enfin,finally
esp̬re,hope
eau,water
parti,left
nouvelle,new
boulot,job
arr̻ter,Stop
dirait,would say
compte,account
donne,given
loin,far
fin,end
croire,believe
ch̩rie,sweetheart
gros,large
plut̫t,rather
filles,girls
jouer,to play
bureau,office
